
** repeat 0 **
loading ../../outputs/repeat-0/sigarra
using chunked sentences from out-conll-sigarra.txt
5197 chunks, training on 5197
training ClassifierChunker with ['DecisionTree'] classifier
Constructing training corpus for classifier.
Training classifier (140486 instances)
training DecisionTree classifier
best stump for 140486 toks uses word                 err=0.0952
best stump for     27 toks uses previob              err=0.0370
best stump for      3 toks uses nextpos              err=0.0000
best stump for     19 toks uses prevpos              err=0.0000
best stump for     27 toks uses previob              err=0.0000
best stump for     12 toks uses prevword             err=0.0000
best stump for     12 toks uses previob              err=0.0000
best stump for      8 toks uses previob              err=0.0000
best stump for     46 toks uses prevword             err=0.0000
best stump for      6 toks uses nextpos              err=0.0000
best stump for     10 toks uses nextword             err=0.0000
best stump for      9 toks uses prevword             err=0.0000
best stump for     69 toks uses prevword             err=0.0000
best stump for     10 toks uses nextpos              err=0.0000
best stump for     78 toks uses previob              err=0.0000
best stump for      6 toks uses prevword             err=0.0000
best stump for      4 toks uses prevpos              err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for      8 toks uses prevword             err=0.0000
best stump for     19 toks uses previob              err=0.0000
best stump for     10 toks uses prevword             err=0.0000
best stump for      6 toks uses prevword             err=0.0000
best stump for      5 toks uses nextpos              err=0.0000
best stump for    108 toks uses prevword             err=0.0185
best stump for      2 toks uses nextpos              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      2 toks uses previob              err=0.0000
best stump for     20 toks uses previob              err=0.0000
best stump for     20 toks uses previob              err=0.0000
best stump for     10 toks uses nextword             err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for      4 toks uses prevpos              err=0.0000
best stump for     21 toks uses previob              err=0.0000
best stump for      8 toks uses previob              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      3 toks uses prevword             err=0.0000
best stump for      4 toks uses prevpos              err=0.0000
best stump for     49 toks uses prevword             err=0.0000
best stump for    112 toks uses previob              err=0.0268
best stump for     87 toks uses prevword             err=0.0000
best stump for     51 toks uses prevword             err=0.0000
best stump for      5 toks uses prevpos              err=0.0000
best stump for      5 toks uses previob              err=0.0000
best stump for     33 toks uses None                 err=0.0303
best stump for      6 toks uses previob              err=0.0000
best stump for     12 toks uses previob              err=0.0000
best stump for     35 toks uses previob              err=0.0000
best stump for     34 toks uses previob              err=0.0000
best stump for     44 toks uses previob              err=0.0227
best stump for     11 toks uses nextword             err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for     16 toks uses previob              err=0.0000
best stump for      8 toks uses nextword             err=0.0000
best stump for      9 toks uses previob              err=0.0000
best stump for      6 toks uses prevword             err=0.0000
best stump for      6 toks uses prevword             err=0.0000
best stump for      3 toks uses nextword             err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for     87 toks uses previob              err=0.0805
best stump for     55 toks uses nextpos              err=0.0909
best stump for      3 toks uses None                 err=0.3333
best stump for     26 toks uses None                 err=0.0385
best stump for     20 toks uses prevpos              err=0.0500
best stump for      3 toks uses nextword             err=0.0000
best stump for     17 toks uses prevword             err=0.0000
best stump for     10 toks uses nextpos              err=0.0000
best stump for      9 toks uses prevpos              err=0.1111
best stump for      4 toks uses nextpos              err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for     14 toks uses prevword             err=0.0714
best stump for      3 toks uses None                 err=0.3333
best stump for      9 toks uses prevword             err=0.0000
best stump for     68 toks uses previob              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for     12 toks uses previob              err=0.0000
best stump for      2 toks uses previob              err=0.0000
best stump for   2939 toks uses previob              err=0.0204
best stump for     22 toks uses prevword             err=0.0000
best stump for     72 toks uses prevword             err=0.0000
best stump for    312 toks uses prevword             err=0.0000
best stump for     11 toks uses prevword             err=0.0000
best stump for     56 toks uses nextword             err=0.0179
best stump for      2 toks uses prevword             err=0.0000
best stump for    111 toks uses prevword             err=0.0000
best stump for     43 toks uses prevword             err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for    110 toks uses previob              err=0.0000
best stump for     18 toks uses prevword             err=0.0000
best stump for   9248 toks uses previob              err=0.0026
best stump for     37 toks uses prevword             err=0.0000
best stump for     55 toks uses prevword             err=0.0000
best stump for    144 toks uses prevword             err=0.0000
best stump for    121 toks uses prevword             err=0.0000
best stump for    109 toks uses prevword             err=0.0000
best stump for   2941 toks uses prevword             err=0.0578
best stump for      2 toks uses previob              err=0.0000
best stump for      4 toks uses nextword             err=0.2500
best stump for     10 toks uses None                 err=0.1000
best stump for      8 toks uses previob              err=0.0000
best stump for     16 toks uses previob              err=0.0000
best stump for      3 toks uses previob              err=0.0000
best stump for     35 toks uses previob              err=0.0000
best stump for      2 toks uses None                 err=0.5000
best stump for      3 toks uses nextword             err=0.0000
best stump for      3 toks uses previob              err=0.0000
best stump for      9 toks uses nextword             err=0.0000
best stump for      2 toks uses nextword             err=0.0000
best stump for      5 toks uses nextword             err=0.0000
best stump for     59 toks uses previob              err=0.0000
best stump for     63 toks uses previob              err=0.0159
best stump for      5 toks uses nextword             err=0.0000
best stump for      8 toks uses nextword             err=0.0000
best stump for      2 toks uses nextword             err=0.0000
best stump for     57 toks uses previob              err=0.0351
best stump for      3 toks uses nextword             err=0.0000
best stump for     53 toks uses nextword             err=0.0000
best stump for     19 toks uses None                 err=0.0526
best stump for      6 toks uses previob              err=0.0000
best stump for      3 toks uses None                 err=0.3333
best stump for      3 toks uses nextword             err=0.0000
best stump for    113 toks uses previob              err=0.0000
best stump for     12 toks uses previob              err=0.0000
best stump for      7 toks uses previob              err=0.0000
