
** training iterations **

** repeat 0 **

** iterations value: 160 **

** training categories **
Indexing events using cutoff of 5

	Computing event counts...  done. 59062 events
	Indexing...  done.
Sorting and merging events... done. Reduced 59062 events to 55254.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 55254
	    Number of Outcomes: 21
	  Number of Predicates: 16579
...done.
Computing model parameters ...
Performing 160 iterations.
 98:  ... loglikelihood=-4083.151745788128	0.9883579756182747
 99:  ... loglikelihood=-4061.443511729956	0.9883912385450796
100:  ... loglikelihood=-4040.099917559506	0.9884577643986895
101:  ... loglikelihood=-4019.1110656635465	0.988474395862092
102:  ... loglikelihood=-3998.467426005485	0.9885242902522993
103:  ... loglikelihood=-3978.1598189076813	0.9885242902522993
104:  ... loglikelihood=-3958.179398802594	0.9885908161059092
105:  ... loglikelihood=-3938.5176388896807	0.9886407104961166
106:  ... loglikelihood=-3919.166316639063	0.9886739734229215
107:  ... loglikelihood=-3900.1175000875396	0.9887571307399338
108:  ... loglikelihood=-3881.363534876595	0.9888402880569461
109:  ... loglikelihood=-3862.897031985676	0.9888735509837511
110:  ... loglikelihood=-3844.7108561166706	0.9888735509837511
111:  ... loglikelihood=-3826.798114690558	0.988906813910556
112:  ... loglikelihood=-3809.152147417608	0.988906813910556
113:  ... loglikelihood=-3791.766516406365	0.9889567083007634
114:  ... loglikelihood=-3774.634996780126	0.9890066026909707
115:  ... loglikelihood=-3757.751567768783	0.9890398656177757
116:  ... loglikelihood=-3741.1104042497127	0.9890897600079831
117:  ... loglikelihood=-3724.705868710284	0.9890897600079831
118:  ... loglikelihood=-3708.532503607853	0.9890897600079831
119:  ... loglikelihood=-3692.585024104402	0.9891063914713856
120:  ... loglikelihood=-3676.8583111543635	0.9891063914713856
121:  ... loglikelihood=-3661.3474049254105	0.9891396543981905
122:  ... loglikelihood=-3646.0474985341116	0.9892061802518004
123:  ... loglikelihood=-3630.953932078133	0.9892560746420077
124:  ... loglikelihood=-3616.0621869491642	0.9892727061054102
125:  ... loglikelihood=-3601.3678804111078	0.98940575781263
126:  ... loglikelihood=-3586.8667604288144	0.9894223892760324
127:  ... loglikelihood=-3572.5547007342116	0.9895055465930447
128:  ... loglikelihood=-3558.4276961170935	0.9895388095198496
129:  ... loglikelihood=-3544.481857928098	0.9896053353734595
130:  ... loglikelihood=-3530.713409783609	0.989621966836862
131:  ... loglikelihood=-3517.118683461364	0.9896385983002645
132:  ... loglikelihood=-3503.6941149769636	0.9896385983002645
133:  ... loglikelihood=-3490.4362408321967	0.9896552297636669
134:  ... loglikelihood=-3477.34169442628	0.9896718612270694
135:  ... loglikelihood=-3464.407202621811	0.9897383870806792
136:  ... loglikelihood=-3451.6295824572526	0.9897383870806792
137:  ... loglikelihood=-3439.005737999467	0.989838175861094
138:  ... loglikelihood=-3426.53265732856	0.989871438787899
139:  ... loglikelihood=-3414.207409648846	0.9898548073244965
140:  ... loglikelihood=-3402.027142519772	0.9898880702513014
141:  ... loglikelihood=-3389.989079201103	0.9899545961049113
142:  ... loglikelihood=-3378.090516106378	0.9899712275683137
143:  ... loglikelihood=-3366.3288203601446	0.9900044904951186
144:  ... loglikelihood=-3354.701427453568	0.9900377534219236
145:  ... loglikelihood=-3343.2058389940053	0.9900710163487285
146:  ... loglikelihood=-3331.8396205435924	0.9900710163487285
147:  ... loglikelihood=-3320.600399544009	0.990087647812131
148:  ... loglikelihood=-3309.485863321758	0.9901209107389359
149:  ... loglikelihood=-3298.4937571716687	0.9901209107389359
150:  ... loglikelihood=-3287.621882514154	0.9901209107389359
151:  ... loglikelihood=-3276.8680951235656	0.9901874365925458
152:  ... loglikelihood=-3266.2303034236247	0.9902705939095581
153:  ... loglikelihood=-3255.7064668482085	0.9902705939095581
154:  ... loglikelihood=-3245.294594262775	0.9902705939095581
155:  ... loglikelihood=-3234.992742445818	0.990303856836363
156:  ... loglikelihood=-3224.7990146260995	0.9903703826899729
157:  ... loglikelihood=-3214.711559073963	0.9903870141533754
158:  ... loglikelihood=-3204.7285677443056	0.9904535400069853
159:  ... loglikelihood=-3194.8482749690766	0.9905034343971926
160:  ... loglikelihood=-3185.0689561969416	0.9905533287874

Training data summary:
#Sentences: 3348
#Tokens: 60127
#PESSOA_CARGO entities: 86
#VALOR_MOEDA entities: 47
#OBRA_PLANO entities: 101
#ORGANIZACAO_INSTITUICAO entities: 309
#TEMPO_FREQUENCIA entities: 53
#PESSOA_GRUPOMEMBRO entities: 192
#COISA_MEMBROCLASSE entities: 4
#COISA_OUTRO entities: 1
#TEMPO_DURACAO entities: 54
#OBRA_ARTE entities: 24
#ABSTRACCAO_NOME entities: 58
#LOCAL_VIRTUAL entities: 24
#PESSOA_MEMBRO entities: 3
#TEMPO_TEMPO_CALEND entities: 724
#PESSOA_POVO entities: 21
#ABSTRACCAO_DISCIPLINA entities: 158
#ACONTECIMENTO_ORGANIZADO entities: 136
#COISA_SUBSTANCIA entities: 10
#TEMPO_GENERICO entities: 60
#LOCAL_FISICO entities: 59
#LOCAL_OUTRO entities: 2
#COISA_OBJECTO entities: 46
#COISA_CLASSE entities: 202
#PESSOA_INDIVIDUAL entities: 1256
#ACONTECIMENTO_EFEMERIDE entities: 52
#PESSOA_GRUPOCARGO entities: 7
#ORGANIZACAO_ADMINISTRACAO entities: 197
#VALOR_CLASSIFICACAO entities: 31
#ACONTECIMENTO_EVENTO entities: 19
#ABSTRACCAO_IDEIA entities: 36
#ABSTRACCAO_ESTADO entities: 11
#LOCAL_HUMANO entities: 911
#OBRA_REPRODUZIDA entities: 172
#VALOR_QUANTIDADE entities: 181
#ORGANIZACAO_EMPRESA entities: 112
#PESSOA_GRUPOIND entities: 9

Writing name finder model ... done (0.287s)

Wrote name finder model to
path: /home/arop/Documents/ner-re-pt/tools/open-nlp/train/models/repeat-0/experiences/iterations/160/pt-ner-types.bin

Execution time: 72.539 seconds

real	1m12.725s
user	1m15.776s
sys	0m0.732s

** training subtypes **
Indexing events using cutoff of 5

	Computing event counts...  done. 56136 events
	Indexing...  done.
Sorting and merging events... done. Reduced 56136 events to 52377.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 52377
	    Number of Outcomes: 64
	  Number of Predicates: 15799
...done.
Computing model parameters ...
Performing 160 iterations.
  1:  ... loglikelihood=-233463.06076730805	0.9286910360552942
  2:  ... loglikelihood=-50387.636662147386	0.929831124412142
  3:  ... loglikelihood=-26890.519543293434	0.9338570614222602
  4:  ... loglikelihood=-19176.20572806939	0.9398068975345589
  5:  ... loglikelihood=-15271.630913481367	0.945382642154767
  6:  ... loglikelihood=-12838.292619986403	0.9508871312526721
  7:  ... loglikelihood=-11147.253822628529	0.956195667664244
  8:  ... loglikelihood=-9894.471761089957	0.9605778822858771
  9:  ... loglikelihood=-8926.313817030958	0.9638912640729657
 10:  ... loglikelihood=-8154.890932063778	0.9666702294427818
 11:  ... loglikelihood=-7525.629820747844	0.9695917058572039
 12:  ... loglikelihood=-7002.583132141127	0.9719431380932022
 13:  ... loglikelihood=-6560.997577530092	0.9736532706284737
 14:  ... loglikelihood=-6183.282139371769	0.9751852643579877
 15:  ... loglikelihood=-5856.602718658645	0.9767528858486533
 16:  ... loglikelihood=-5571.336785222709	0.9780354852501069
 17:  ... loglikelihood=-5320.091403871371	0.979211201368106
 18:  ... loglikelihood=-5097.086594728339	0.9802800342026508
 19:  ... loglikelihood=-4897.748652959513	0.981099472709135
 20:  ... loglikelihood=-4718.422790442506	0.9817585862904376
 21:  ... loglikelihood=-4556.161115265134	0.9825423970357703
 22:  ... loglikelihood=-4408.564264609612	0.9830055579307396
 23:  ... loglikelihood=-4273.662459642195	0.9836468576314664
 24:  ... loglikelihood=-4149.825099957231	0.9842703434516175
 25:  ... loglikelihood=-4035.691355051784	0.9847869459883141
