
** training sigarra **

** repeat 0 **
Indexing events using cutoff of 4

	Computing event counts...  done. 128056 events
	Indexing...  done.
Sorting and merging events... done. Reduced 128056 events to 102562.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 102562
	    Number of Outcomes: 17
	  Number of Predicates: 50323
...done.
Computing model parameters ...
Performing 170 iterations.
157:  ... loglikelihood=-3128.8513882122743	0.9965812625405155
158:  ... loglikelihood=-3116.5490604718634	0.9965889797808304
159:  ... loglikelihood=-3104.377674243368	0.9965966970211453
160:  ... loglikelihood=-3092.335006358749	0.996612131501775
161:  ... loglikelihood=-3080.4188852481207	0.9966430004630344
162:  ... loglikelihood=-3068.6271894255997	0.9966507177033492
163:  ... loglikelihood=-3056.9578460277494	0.9966584349436641
164:  ... loglikelihood=-3045.4088294047388	0.9966584349436641
165:  ... loglikelihood=-3033.9781597596066	0.996666152183979
166:  ... loglikelihood=-3022.663901835963	0.996666152183979
167:  ... loglikelihood=-3011.4641636500614	0.9966815866646087
168:  ... loglikelihood=-3000.377095267107	0.9967124556258682
169:  ... loglikelihood=-2989.400887619107	0.9967201728661831
170:  ... loglikelihood=-2978.5337713627514	0.9967356073468128

Training data summary:
#Sentences: 5986
#Tokens: 129580
#Organizacao entities: 1825
#Hora entities: 798
#Localizacao entities: 1246
#UnidadeOrganica entities: 1412
#Evento entities: 310
#Data entities: 2222
#Curso entities: 386
#Pessoa entities: 1694

Writing name finder model ... done (0.635s)

Wrote name finder model to
path: /home/arop/Documents/ner-re-pt/tools/open-nlp/train/models/repeat-1/sigarra/pt-ner-sigarra.bin

Execution time: 62.888 seconds

real	1m3.068s
user	1m7.176s
sys	0m0.660s

** repeat 2 **
Indexing events using cutoff of 4

	Computing event counts...  done. 129493 events
	Indexing...  done.
Sorting and merging events... done. Reduced 129493 events to 102802.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 102802
	    Number of Outcomes: 17
	  Number of Predicates: 50376
...done.
Computing model parameters ...
Performing 170 iterations.
  1:  ... loglikelihood=-366881.2955609614	0.7805132323754952
  2:  ... loglikelihood=-110358.60908909487	0.803819511479385
  3:  ... loglikelihood=-69877.3221508143	0.8803101325940398
  4:  ... loglikelihood=-51464.96283787698	0.9225749654421475
  5:  ... loglikelihood=-41028.459739916725	0.943603129126671
  6:  ... loglikelihood=-34368.44478948531	0.9558431729900458
  7:  ... loglikelihood=-29759.5043802084	0.9634806514637857
  8:  ... loglikelihood=-26376.6523469769	0.9687164557157529
  9:  ... loglikelihood=-23782.158538221473	0.972322828260987
 10:  ... loglikelihood=-21724.273608256866	0.9748712285606171
 11:  ... loglikelihood=-20048.45446772876	0.9771416215548331
 12:  ... loglikelihood=-18654.640930773912	0.9790722278424316
 13:  ... loglikelihood=-17475.16742995621	0.9806939371240144
 14:  ... loglikelihood=-16462.61109266501	0.9818291336211223
 15:  ... loglikelihood=-15582.732000689488	0.9828871058667263
 16:  ... loglikelihood=-14810.176265587968	0.9839605229626311
 17:  ... loglikelihood=-14125.75668466729	0.9847250430525202
 18:  ... loglikelihood=-13514.674250833998	0.9855822322442139
 19:  ... loglikelihood=-12965.321745475343	0.9861923038310951
 20:  ... loglikelihood=-12468.458966129687	0.9867251511664723
 21:  ... loglikelihood=-12016.631820226641	0.987327500328203
 22:  ... loglikelihood=-11603.755335949405	0.9877985682623771
 23:  ... loglikelihood=-11224.809189414478	0.9882773586217015
 24:  ... loglikelihood=-10875.61188160745	0.9887793162564772
 25:  ... loglikelihood=-10552.650769059019	0.9891113805379441
 26:  ... loglikelihood=-10252.952335324835	0.9894897793703135
 27:  ... loglikelihood=-9973.98186462861	0.9898218436517804
 28:  ... loglikelihood=-9713.564906671902	0.9901384630829466
 29:  ... loglikelihood=-9469.825124562436	0.9903160788614056
 30:  ... loglikelihood=-9241.134630215105	0.990501417065015
 31:  ... loglikelihood=-9026.07395705694	0.9906249758674214
